Date,Platform,Content Goal,Funnel Stage,Post Type,Topic,Exact Hook,Full Voiceover Script,Exact On-Screen Text,Canva Visual Direction,Approved CTA,Generated File Name,Source
Day 1,Instagram,Authority,Awareness,Video/Reel,What to Ask First in a Psychiatric Interview,Do not start a psychiatric interview randomly.,"Start with the patient’s chief concern in their own words. Then clarify onset, duration, and current severity. Next, identify how the problem is affecting daily function. Before going too far, screen for immediate safety concerns. A structured beginning makes the rest of the interview clearer, faster, and safer.","Start with chief concern Clarify onset, duration, severity Assess function Screen safety early",Notebook or desk scene. Use a clean four-step interview flow graphic. Animate each step appearing one by one.,Save this for clinical.,PAM_IG_Day01_InterviewFlow_V1,1-3
Day 2,TikTok,Lead Generation,Consideration,Video,The Difference Between Mood and Affect,Students often confuse mood with affect.,"Mood is the patient’s sustained emotional experience. Affect is the emotional expression you observe. Mood is reported. Affect is seen. If a patient says they feel depressed, but appears smiling and reactive, affect may be incongruent with mood. This distinction matters in both assessment and documentation.",Mood = reported feeling Affect = observed expression Congruent vs incongruent,Split-screen style comparison. Left side: mood definition. Right side: affect definition. Finish with one short charting example.,Save this MSE distinction.,PAM_TikTok_Day02_MoodAffect_V1,"1, 2, 4"
Day 3,Facebook,Nurture,Retention,Video,One SOAP Note Mistake That Weakens Good Assessments,One SOAP note mistake makes good assessments sound unclear.,"A common mistake is mixing subjective and objective data. If the patient reports hopelessness, that belongs in subjective. If you observe tearfulness, slowed speech, or poor eye contact, that belongs in objective. Strong notes separate reported experience from observed findings. That is what makes your reasoning easier to trust.",Subjective = patient reports Objective = clinician observes Separate them clearly,Show Subjective and Objective as two clean columns. Place examples under each.,Save this for your next SOAP note.,PAM_FB_Day03_SOAPMistake_V1,1-3
Day 4,Instagram,Authority,Awareness,Video/Reel,How to Ask About Suicidal Ideation Clearly,You do not need awkward wording to ask about suicide.,"Use clear and direct language. Ask whether the patient has had thoughts of wanting to die or thoughts of killing themselves. Then clarify intent, plan, and access to means. Also ask about past attempts and protective factors. Direct questions improve clarity. Vague questions increase risk.",Ask directly Clarify intent Clarify plan Clarify means Ask about past attempts,Minimal checklist animation. Clinical note card or structured prompt list. No dramatic imagery.,Save this safety language.,PAM_IG_Day04_SafetyDirect_V1,"1, 2"
Day 5,LinkedIn,Authority,Awareness,Video,"If Your MSE Feels Scattered, Use This Structure","If your Mental Status Exam feels scattered, use this structure.","Think in categories, not chaos. Start with appearance and behavior. Then speech and motor activity. Then mood and affect. Then thought process, thought content, and perception. Finish with cognition, insight, and judgment. A category-based approach makes the MSE easier to remember and easier to write.",Appearance / behavior Speech / motor Mood / affect Thought process / content / perception Cognition / insight / judgment,Grid layout with each MSE domain appearing in sequence.,Save this MSE map.,PAM_LI_Day05_MSEStructure_V1,"1, 2, 4"
Day 6,Facebook,Product Conversion,Conversion,Video,Why Good Students Still Freeze in Psychiatric Interviews,Many students do not freeze because they lack knowledge.,"They freeze because they do not yet have a repeatable structure. Knowing symptoms is not the same as knowing what to ask next. A structured interview reduces mental overload. It gives you sequence, direction, and clinical focus. Confidence often improves after structure improves.",Knowledge is not enough Structure reduces overload Sequence improves confidence,Desk setup with overlay text. Use a simple symptoms versus structure contrast graphic.,Follow for structured psychiatric assessment training.,PAM_FB_Day06_StructureFreeze_V1,1-4
Day 7,Instagram,Authority,Awareness,Video/Reel,Thought Process Is Not Thought Content,Thought process is not the same as thought content.,"Thought process describes how ideas are organized. Is the patient linear, tangential, circumstantial, or disorganized? Thought content describes what the patient is thinking about. For example, delusions, obsessions, guilt, or suicidal ideation. If you confuse the two, your MSE becomes less precise.",Thought process = how thoughts are organized Thought content = what thoughts are about,Two-column comparison with short examples.,Save this psych charting guide.,PAM_IG_Day07_MSEProcessContent_V1,"1, 2"
Day 8,LinkedIn,Authority,Awareness,Video,Do Not Jump to One Diagnosis Too Early,Do not jump to one diagnosis too early.,"Start with the syndrome pattern first. Look at the major symptom clusters. Then compare time course, severity, impairment, and rule-outs. Only after that should you rank likely differentials. Diagnostic reasoning is comparison. It is not guesswork.",Start with syndrome pattern Compare symptom clusters Check time course and impairment Rank differentials,Step ladder or staircase visual.,Save this for case study practice.,PAM_LI_Day08_EarlyDiagnosis_V1,"1, 2, 4"
Day 9,TikTok,Reach,Awareness,Video,Stop Writing Vague Psych Notes,Stop writing vague psych notes.,"Vague notes weaken clinical credibility. Instead of writing “patient seems off,” describe what you observed. For example: tearful, guarded, slowed speech, poor eye contact, or tangential thought process. Strong documentation is based on observable findings, not fuzzy impressions.",Avoid vague wording Use observable findings Write what you saw,Before-and-after text examples. Use a simple correction format.,Save this charting tip.,PAM_TikTok_Day09_VagueCharting_V1,1-3
Day 10,Instagram,Authority,Awareness,Video/Reel,The Functional Impairment Question You Should Not Skip,Symptoms matter. Functional impairment matters too.,"Always ask how symptoms are affecting work, school, relationships, or self-care. A symptom list alone is not enough. Functional impairment helps determine clinical significance and diagnostic weight. Without it, your formulation may stay incomplete.",Work School Relationships Self-care Impairment changes meaning,Four-box framework with each life domain.,Save this for your next assessment.,PAM_IG_Day10_FunctionalImpact_V1,"1, 2"
